country_name;package_geo_state;Count ( distinct package_id)
-;San Jose;14754
-;Alajuela;11647
-;Heredia;6151
-;Cartago;5157
-;Puntarenas;4251
-;Guanacaste;3805
-;Limon;2530
-;san jose;1876
-;San jose;1534
-;San Jose Province;1348
-;alajuela;1200
-;Alajuela Province;798
-;Costa Rica;743
-;puntarenas;697
-;limon;654
-;cartago;619
-;heredia;570
-;guanacaste;492
-;Provincia de Alajuela;465
-;Heredia Province;390
-;Cartago Province;314
-;Puntarenas Province;312
-;San Carlos;301
-;Guanacaste Province;279
-;Desamparados;264
-;SAN JOSE;262
-;ALAJUELA;233
-;san Jose;205
-;Provincia de Puntarenas;199
-;Provincia de Cartago;186
-;Limon Province;182
-;costa rica;167
-;Moravia;147
-;HEREDIA;142
-;San Rafael;136
-;Curridabat;134
-;Palmares;116
-;CARTAGO;110
-;Poas;110
-;Perez Zeledon;106
-;Grecia;98
-;Santo Domingo;95
-;central;89
-;Provincia de Guanacaste;89
-;Goicoechea;86
-;Pavas;85
-;San Ramon;85
-;Escazu;83
-;Naranjo;79
-;desamparados;78
-;San Jose Costa Rica;78
-;San Pablo;76
-;Belen;74
-;San Jose, Costa Rica;72
-;Guapiles;71
-;Santa Barbara;71
-;GUANACASTE;68
-;Atenas;66
-;doral;66
-;Sanjose;66
-;Turrialba;66
-;Montes de Oca;64
-;sanjose;62
-;Guanacaste, cabo velas district;61
-;Alajuelita;60
-;Costa rica;58
-;Puriscal;57
-;bataan matina limon;56
-;Liberia;56
-;Santa Cruz;55
-;Central;52
-;Esparza;52
-;Alajuela, San Carlos;51
-;San Francisco;51
-;Aserri;47
-;jaco;47
-;Paraiso;47
-;Barva;46
-;Buenos Aires;46
-;Cartago,;45
-;San Isidro;45
-;LIMON;43
-;Pococi;43
-;Upala;43
-;limon guapiles guapiles;42
-;Guadalupe;39
-;san carlos;39
-;Sarapiqui;39
-;casa de 2 plantas verjas color rojo;38
-;paraiso;38
-;San Carlos, Alajuela;38
-;San Sebastian;38
-;Siquirres;38
-;Tibas;38
-;COSTA RICA;37
-;Puntarenas, Esparza, Macacona;37
-;Orotina;36
-;tibas;35
-;san jose costa rica;34
-;Desamparados San Jose;33
-;perez zeledon;33
-;Puntarena;33
-;Acosta;32
-;Provincia de San Jose;31
-;sarapiqui;31
-;curridabat;30
-;Oreamuno;30
-;Quepos;30
-;Santa Ana;30
-;Zapote;30
-;chorotega;29
-;medley;29
-;Alajuela, Costa Rica;28
-;Atenas Centro;28
-;guacimo;28
-;Heredia, Costa Rica;28
-;herradura,puntarenas,garabito;28
-;pavas;28
-;Rohrmoser;28
-;San Jose, Santa Ana;28
-;Santa Ana, Rio Oro;28
-;Mata Redonda;27
-;Perez zeledon;27
-;San Pablo de Heredia;27
-;Atenas, Alajuela;26
-;Heredia centro;26
-;San Juan;26
-;Tejar del Guarco;26
-;Alajuelita, concepcion abajo;25
-;Matina;25
-;PUNTARENAS;25
-;San Jose, San Jose, Goicoechea, Purral;25
-;Hojancha;24
-;San José;24
-;San Juan de Tibas;24
-;Talamanca;24
-;Barranca;23
-;Calle Blancos;23
-;Costa Rica, Palmares, Alajuela;23
-;Jaco;23
-;limon 7300.SOLO SUCURSAL..;23
-;palmares;23
-;pococi;23
-;San carlos;23
-;Santiago;23
-;Cartago, Correos CR;22
-;Guacimo;22
-;Guanacaste,CR;22
-;Guapiles Limon;22
-;poas;22
-;Provincia de Heredia;22
-;San pedro;22
-;SANTA BARBARA;22
-;zapote;22
-;Zarcero;22
-;alajuela coyol;21
-;Cartago, Costa Rica;21
-;Sabanilla Montes de Oca;21
-;San Isidro, Tacacori;21
-;San Ramon Alajuela;21
-;alajuelita;20
-;Casa Blanca al lado izquierdo porton negro;20
-;CostaRica;20
-;La Union;20
-;Oriental;20
-;pacifico central;20
-;PAVAS;20
-;puntarenas centro;20
-;quepos;20
-;San Antonio desamparados;20
-;tres rios;20
-;Turrucares;20
-;Alajuela/San Carlos;19
-;El Roble;19
-;Florida;19
-;La Garita;19
-;Plamares;19
-;Puntarenas, Costa Rica;19
-;Residencial EL Bosque;19
-;San Jose, Desamparador, San Rafael Abajo;19
-;San Jose, Perez Zeledon;19
-;San sebastian;19
-;santa barbara;19
-;Ulloa;19
-;Alajuela,San Carlos, La fortuna;18
-;Alajuela/Alajuela/Guacima;18
-;Cartago, Cartago;18
-;Coronado;18
-;coronando;18
-;Doral;18
-;Heredia/Santa Barbara;18
-;Lagunilla de Heredia. Ulloa;18
-;Patalillo;18
-;puriscal;18
-;San Jose Central;18
-;San Jose Hatillo Centro;18
-;san Jose, Uruca;18
-;san jose/ cartago/tejar;18
-;San Pedro;18
-;San Rafael, Montes de Oca;18
-;uruca;18
-;Aajuela;17
-;Alajuela, San Carlos, Venecia;17
-;aserri;17
-;brunca;17
-;Concepcion;17
-;Costa Rica/Alajuela/Palmares;17
-;Guanacaste / Carrillo;17
-;liberia;17
-;Limon Costa Rica;17
-;Merced;17
-;POCOCI/LIMON;17
-;San Antonio;17
-;san jose Costa Rica, zapote cerrajeria servillaves;17
-;Tarrazu;17
-;Vasquez de Coronado;17
-;Ciudad Quesada;16
-;El Guarco;16
-;Esquina suroeste del parque Nicoya-Guanacaste;16
-;guadalupe;16
-;Guanacaste.;16
-;Hatillo;16
-;Heredia costado este hospital San Vicente de Paul;16
-;Nicoya;16
-;Sabanilla;16
-;san jose Costa Rica;16
-;san jose province;16
-;San Rafael de Escazu;16
-;siquirres limon costa rica;16
-;Alajuela canton central;15
-;Barrio San Jose;15
-;Central Costado de KFC Paseo colon;15
-;Ciudad Colon;15
-;ciudad quesada san carlos;15
-;costa Rica;15
-;Mercedes Norte;15
-;Mora;15
-;san francisco;15
-;San jose, mata Redonda;15
-;SAN RAFAEL;15
-;San Ramon, Alajuela, Costa Rica;15
-;San Ramon, Alajuela.;15
-;Santiago puriscal;15
-;Sarchi Norte;15
